table Reformer_fraction(RE_IN,RE_OUT) :
RE_IN RE_OUT Reformer_fraction :=
1   1   0.08
1   2   0.09
1   3   0.83
1   4   0
1   5   0.019
1   6   2.7
2   1   0.09
2   2   0.12
2   3   0
2   4   0.79
2   5   0.026
2   6   3.2 ;

table Cracker_fraction(CR_IN,CR_OUT) :
CR_IN CR_OUT Cracker_fraction :=
1   1   0.015
1   2   0.053
1   3   0.436
1   4   0.446
1   5   0.007
1   6   3.2
2   1   0.012
2   2   0.046
2   3   0.381
2   4   0.511
2   5   0.007
2   6   3.0
;

table Desulphurisation_fraction(C,DES_OUT) :
C   DES_OUT Desulphurisation_fraction :=
1   1   0.98
1   2   0.02
1   3   0.02
1   4   0
2   1   0.98
2   2   0.02
2   3   0.02
2   4   0
3   1   0.98
3   2   0.02
3   3   0.02
3   4   0
4   1   0.98
4   2   0.02
4   3   0.02
4   4   0
5   1   0.98
5   2   0.02
5   3   0.02
5   4   0
6   1   0.97
6   2   0.03
6   3   0.02
6   4   0
7   1   0.97
7   2   0.03
7   3   0.02
7   4   0
8   1   0.96
8   2   0.04
8   3   0.02
8   4   0
9   1   0.98
9   2   0.02
9   3   0.02
9   4   0
10  1   0.96
10  2   0.04
10  3   0.02
10  4   0
;

table JPF_fraction(JPF_IN,JPF_OUT) :
JPF_IN JPF_OUT JPF_fraction :=
1   1   0.05
1   2   0.035
2   1   0.10
2   2   0.065
3   1   0.85
3   2   0.900
;

table Crude_yield(C,W) :
C W Crude_yield := 
1	1	0.002
1	2	0.0091
1	3	0.0698
1	4	0.1598
1	5	0.1003
1	6	0.2876
1	7	0.2682
1	8	0.1032
2	1	0.002
2	2	0.0089
2	3	0.048
2	4	0.0959
2	5	0.0796
2	6	0.2249
2	7	0.2735
2	8	0.2672
3	1	0.002
3	2	0.008
3	3	0.061
3	4	0.1206
3	5	0.0861
3	6	0.2414
3	7	0.2646
3	8	0.2163
4	1	0.004
4	2	0.02
4	3	0.0851
4	4	0.1532
4	5	0.0947
4	6	0.2539
4	7	0.2535
4	8	0.1356
5	1	0.002
5	2	0.0115
5	3	0.0543
5	4	0.1026
5	5	0.0765
5	6	0.2286
5	7	0.2695
5	8	0.255
6	1	0.001
6	2	0.0064
6	3	0.0246
6	4	0.0607
